,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
8298,HOUSE,HOUSE,2,1.0,Flandres,Flandre Orientale,9100,,,TO_BE_DONE_UP,,2.0,GAS,SEMI_EQUIPPED,E,140000,,,unknown,True,,False,False,
8299,HOUSE,VILLA,3,2.0,Wallonie,Brabant Wallon,1300,,150.0,TO_BE_DONE_UP,1940.0,4.0,FUELOIL,USA_HYPER_EQUIPPED,E,575000,2000.0,50.0,unknown,False,,False,False,83.0
8300,HOUSE,HOUSE,6,,Flandres,Flandre Occidentale,8210,,495.0,GOOD,1975.0,4.0,GAS,unknown,C,895000,,,COUNTRY,False,1.0,False,False,48.0
8301,HOUSE,HOUSE,3,1.0,Wallonie,Brabant Wallon,1480,,190.0,unknown,,3.0,FUELOIL,unknown,C,385000,,46.0,unknown,False,,False,False,
8302,HOUSE,HOUSE,3,,Wallonie,Liège,4020,,90.0,AS_NEW,,2.0,GAS,USA_HYPER_EQUIPPED,unknown,190000,,12.0,unknown,False,,False,False,
8303,APARTMENT,APARTMENT,3,1.0,Bruxelles,Bruxelles,1090,1.0,200.0,GOOD,,2.0,unknown,unknown,E,395000,,30.0,unknown,False,,False,False,
8304,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Occidentale,8660,8.0,81.0,GOOD,,,ELECTRIC,unknown,D,259000,,,unknown,False,3.0,False,False,
8305,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1030,5.0,73.0,unknown,2013.0,2.0,GAS,unknown,C,265000,,6.0,unknown,False,,False,False,10.0
8306,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1140,4.0,95.0,GOOD,,,GAS,unknown,C,265000,,,unknown,False,3.0,False,False,
8307,APARTMENT,SERVICE_FLAT,1,1.0,Flandres,Flandre Orientale,9100,1.0,58.0,AS_NEW,2018.0,,GAS,HYPER_EQUIPPED,A,236000,,10.0,RESIDENTIAL,False,,False,False,5.0
8308,APARTMENT,APARTMENT,4,1.0,Flandres,Flandre Occidentale,8600,1.0,129.0,GOOD,,,unknown,unknown,C,249000,,,unknown,False,5.0,False,False,
8309,APARTMENT,APARTMENT,3,1.0,Flandres,Anvers,2170,0.0,97.0,GOOD,,2.0,GAS,unknown,B,235000,,,URBAN,False,,False,False,
8310,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1030,2.0,,GOOD,,,GAS,unknown,E,259000,,3.0,unknown,False,2.0,False,False,
8311,APARTMENT,DUPLEX,3,,Wallonie,Liège,4360,1.0,132.0,GOOD,2012.0,3.0,GAS,INSTALLED,B,259000,40.0,,COUNTRY,False,10.0,False,False,11.0
8312,APARTMENT,APARTMENT,3,1.0,Bruxelles,Bruxelles,1190,10.0,105.0,TO_BE_DONE_UP,,2.0,GAS,NOT_INSTALLED,E,275000,,13.0,URBAN,False,,False,False,
8313,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9100,,199.0,GOOD,,3.0,FUELOIL,INSTALLED,E,330000,,,unknown,True,,False,False,
8314,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1060,3.0,100.0,unknown,,3.0,GAS,unknown,C,255000,,,unknown,False,,False,False,
8315,HOUSE,HOUSE,2,1.0,Flandres,Anvers,2260,,140.0,JUST_RENOVATED,1966.0,3.0,GAS,INSTALLED,C,329000,150.0,,URBAN,False,,False,False,57.0
